date,close
2024-08-19,130.70
2024-08-20,133.01
2024-08-21,133.12
2024-08-22,127.21
2024-08-23,127.23
2024-08-26,125.38
2024-08-27,128.48
2024-08-28,129.00
2024-08-29,125.58
2024-08-30,125.77
2024-09-02,124.27
2024-09-03,125.93
2024-09-04,125.66
2024-09-05,124.00
2024-09-06,123.11
2024-09-09,121.91
2024-09-10,120.55
2024-09-11,117.42
2024-09-12,119.06
2024-09-13,118.75
2024-09-16,122.76
2024-09-17,122.16
2024-09-18,123.38
2024-09-19,122.41
2024-09-20,121.60
2024-09-23,119.54
2024-09-24,120.70
2024-09-25,124.28
2024-09-26,126.24
2024-09-27,124.56
2024-09-30,120.85
2024-10-01,118.08
2024-10-02,117.38
2024-10-03,118.31
2024-10-04,119.87
2024-10-07,120.41
2024-10-08,123.51
2024-10-09,124.64
2024-10-10,122.68
2024-10-11,125.81
2024-10-14,123.22
2024-10-15,122.90
2024-10-16,120.89
2024-10-17,125.69
2024-10-18,130.30
2024-10-21,132.10
2024-10-22,130.13
2024-10-23,133.98
2024-10-24,129.85
2024-10-25,128.34
2024-10-28,131.05
2024-10-29,129.24
2024-10-30,132.91
2024-10-31,139.78
2024-11-01,135.77
2024-11-04,135.85
2024-11-05,133.71
2024-11-06,140.14
2024-11-07,134.44
2024-11-08,130.91
2024-11-11,136.43
2024-11-12,129.72
2024-11-13,129.39
2024-11-14,134.38
2024-11-15,134.41
2024-11-18,133.94
2024-11-19,132.69
2024-11-20,136.48
2024-11-21,136.75
2024-11-22,135.12
2024-11-25,129.34
2024-11-26,125.58
2024-11-27,125.31
2024-11-28,124.44
2024-11-29,123.25
2024-12-02,119.17
2024-12-03,114.11
2024-12-04,116.95
2024-12-05,119.42
2024-12-06,117.83
2024-12-09,116.47
2024-12-10,116.70
2024-12-11,116.51
2024-12-12,120.06
2024-12-13,117.46
2024-12-16,116.49
2024-12-17,116.77
2024-12-18,113.98
2024-12-19,115.01
2024-12-20,115.08
2024-12-23,117.91
2024-12-24,118.92
2024-12-25,113.86
2024-12-26,110.11
2024-12-27,108.69
2024-12-30,112.67
2024-12-31,114.91
2025-01-01,116.29
2025-01-02,115.75
2025-01-03,118.02
2025-01-06,114.17
2025-01-07,116.32
2025-01-08,114.53
2025-01-09,113.46
2025-01-10,112.62
2025-01-13,112.16
2025-01-14,110.11
2025-01-15,111.42
2025-01-16,111.71
2025-01-17,108.35
2025-01-20,111.44
2025-01-21,107.10
2025-01-22,105.35
2025-01-23,106.29
2025-01-24,106.03
2025-01-27,104.54
2025-01-28,103.68
2025-01-29,101.54
2025-01-30,101.57
2025-01-31,100.76
2025-02-03,101.00
2025-02-04,102.30
2025-02-05,100.38
2025-02-06,99.11
2025-02-07,97.48
2025-02-10,98.62
2025-02-11,101.00
2025-02-12,103.27
2025-02-13,106.86
2025-02-14,107.58
2025-02-17,106.67
2025-02-18,107.53
2025-02-19,108.00
2025-02-20,104.02
2025-02-21,107.39
2025-02-24,105.95
2025-02-25,105.50
2025-02-26,105.76
2025-02-27,106.91
2025-02-28,109.54
2025-03-03,112.82
2025-03-04,115.90
2025-03-05,119.64
2025-03-06,120.36
2025-03-07,119.34
2025-03-10,119.22
2025-03-11,119.26
2025-03-12,121.40
2025-03-13,119.20
2025-03-14,119.43
2025-03-17,116.83
2025-03-18,115.01
2025-03-19,110.29
2025-03-20,106.31
2025-03-21,104.87
2025-03-24,104.47
2025-03-25,105.39
2025-03-26,107.04
2025-03-27,107.22
2025-03-28,108.33
2025-03-31,106.88
2025-04-01,107.41
2025-04-02,110.05
2025-04-03,112.69
2025-04-04,111.95
2025-04-07,111.60
2025-04-08,112.49
2025-04-09,111.19
2025-04-10,110.62
2025-04-11,109.30
2025-04-14,111.03
2025-04-15,111.24
2025-04-16,109.77
2025-04-17,113.29
2025-04-18,111.97
2025-04-21,107.61
2025-04-22,108.26
2025-04-23,107.05
2025-04-24,108.82
2025-04-25,111.59
2025-04-28,114.57
2025-04-29,112.53
2025-04-30,114.22
2025-05-01,111.12
2025-05-02,111.85
2025-05-05,108.53
2025-05-06,112.16
2025-05-07,110.38
2025-05-08,111.39
2025-05-09,108.47
2025-05-12,110.78
2025-05-13,115.46
2025-05-14,115.39
2025-05-15,113.64
2025-05-16,114.02
2025-05-19,112.20
2025-05-20,113.02
2025-05-21,113.22
2025-05-22,114.82
2025-05-23,117.59
2025-05-26,116.97
2025-05-27,118.90
2025-05-28,120.55
