date,close
2024-08-19,119.38
2024-08-20,123.64
2024-08-21,124.63
2024-08-22,123.13
2024-08-23,127.82
2024-08-26,128.65
2024-08-27,131.08
2024-08-28,135.37
2024-08-29,134.91
2024-08-30,133.62
2024-09-02,139.34
2024-09-03,142.61
2024-09-04,139.61
2024-09-05,137.59
2024-09-06,136.29
2024-09-09,136.91
2024-09-10,135.45
2024-09-11,134.42
2024-09-12,136.13
2024-09-13,132.24
2024-09-16,138.64
2024-09-17,139.95
2024-09-18,141.35
2024-09-19,141.84
2024-09-20,141.62
2024-09-23,143.41
2024-09-24,143.86
2024-09-25,146.79
2024-09-26,146.74
2024-09-27,144.01
2024-09-30,143.81
2024-10-01,147.39
2024-10-02,145.63
2024-10-03,147.43
2024-10-04,150.71
2024-10-07,148.72
2024-10-08,154.11
2024-10-09,153.59
2024-10-10,151.67
2024-10-11,150.88
2024-10-14,149.83
2024-10-15,147.03
2024-10-16,146.71
2024-10-17,144.02
2024-10-18,143.65
2024-10-21,143.88
2024-10-22,144.05
2024-10-23,143.51
2024-10-24,142.13
2024-10-25,138.97
2024-10-28,139.56
2024-10-29,137.50
2024-10-30,136.98
2024-10-31,135.47
2024-11-01,133.27
2024-11-04,133.02
2024-11-05,140.47
2024-11-06,139.67
2024-11-07,140.80
2024-11-08,144.58
2024-11-11,141.20
2024-11-12,148.09
2024-11-13,151.86
2024-11-14,150.26
2024-11-15,149.63
2024-11-18,145.47
2024-11-19,141.82
2024-11-20,147.16
2024-11-21,149.53
2024-11-22,148.18
2024-11-25,148.39
2024-11-26,148.21
2024-11-27,149.99
2024-11-28,146.72
2024-11-29,149.63
2024-12-02,149.02
2024-12-03,147.40
2024-12-04,145.78
2024-12-05,146.81
2024-12-06,143.18
2024-12-09,143.52
2024-12-10,143.73
2024-12-11,144.49
2024-12-12,145.38
2024-12-13,150.39
2024-12-16,155.62
2024-12-17,159.28
2024-12-18,158.36
2024-12-19,164.23
2024-12-20,162.49
2024-12-23,163.70
2024-12-24,158.68
2024-12-25,160.46
2024-12-26,164.49
2024-12-27,157.74
2024-12-30,161.57
2024-12-31,162.73
2025-01-01,164.75
2025-01-02,163.95
2025-01-03,162.59
2025-01-06,165.83
2025-01-07,168.61
2025-01-08,170.20
2025-01-09,166.06
2025-01-10,166.39
2025-01-13,164.04
2025-01-14,163.53
2025-01-15,167.19
2025-01-16,172.85
2025-01-17,172.79
2025-01-20,177.16
2025-01-21,175.97
2025-01-22,166.43
2025-01-23,163.31
2025-01-24,165.67
2025-01-27,171.40
2025-01-28,173.38
2025-01-29,167.28
2025-01-30,167.53
2025-01-31,165.85
2025-02-03,162.15
2025-02-04,156.26
2025-02-05,153.79
2025-02-06,152.90
2025-02-07,156.91
2025-02-10,155.89
2025-02-11,152.50
2025-02-12,154.97
2025-02-13,155.95
2025-02-14,154.08
2025-02-17,158.13
2025-02-18,158.75
2025-02-19,163.53
2025-02-20,162.00
2025-02-21,159.17
2025-02-24,156.16
2025-02-25,151.41
2025-02-26,151.73
2025-02-27,151.99
2025-02-28,158.77
2025-03-03,157.84
2025-03-04,165.78
2025-03-05,167.24
2025-03-06,166.89
2025-03-07,161.99
2025-03-10,163.95
2025-03-11,160.52
2025-03-12,161.96
2025-03-13,163.98
2025-03-14,159.49
2025-03-17,161.59
2025-03-18,161.33
2025-03-19,168.28
2025-03-20,165.00
2025-03-21,160.13
2025-03-24,154.76
2025-03-25,154.88
2025-03-26,161.66
2025-03-27,162.56
2025-03-28,158.44
2025-03-31,159.34
2025-04-01,160.01
2025-04-02,162.70
2025-04-03,163.11
2025-04-04,163.61
2025-04-07,160.65
2025-04-08,161.62
2025-04-09,157.44
2025-04-10,152.77
2025-04-11,157.09
2025-04-14,160.78
2025-04-15,161.89
2025-04-16,162.95
2025-04-17,161.71
2025-04-18,161.24
2025-04-21,158.72
2025-04-22,162.55
2025-04-23,163.36
2025-04-24,162.66
2025-04-25,162.78
2025-04-28,160.29
2025-04-29,159.34
2025-04-30,161.67
2025-05-01,161.97
2025-05-02,165.35
2025-05-05,168.27
2025-05-06,176.14
2025-05-07,178.58
2025-05-08,183.77
2025-05-09,176.85
2025-05-12,174.10
2025-05-13,181.45
2025-05-14,187.98
2025-05-15,187.63
2025-05-16,187.04
2025-05-19,192.92
2025-05-20,189.99
2025-05-21,188.10
2025-05-22,187.92
2025-05-23,189.45
2025-05-26,191.18
2025-05-27,192.92
2025-05-28,187.79
2025-05-29,188.72
2025-05-30,189.11
2025-06-02,188.23
2025-06-03,189.01
2025-06-04,188.29
2025-06-05,182.80
2025-06-06,181.04
2025-06-09,175.39
2025-06-10,169.46
2025-06-11,167.21
2025-06-12,171.18
2025-06-13,175.30
2025-06-16,177.81
2025-06-17,179.00
2025-06-18,177.07
2025-06-19,176.96
2025-06-20,182.80
2025-06-23,183.00
2025-06-24,186.14
2025-06-25,199.22
2025-06-26,193.92
2025-06-27,198.94
2025-06-30,206.45
2025-07-01,205.66
2025-07-02,205.60
2025-07-03,200.90
2025-07-04,198.27
2025-07-07,205.22
2025-07-08,206.99
2025-07-09,207.96
2025-07-10,206.82
2025-07-11,204.42
2025-07-14,201.13
2025-07-15,201.74
2025-07-16,206.56
2025-07-17,208.89
