date,close
2024-08-19,129.23
2024-08-20,127.91
2024-08-21,128.05
2024-08-22,127.89
2024-08-23,125.98
2024-08-26,123.80
2024-08-27,121.99
2024-08-28,121.24
2024-08-29,117.02
2024-08-30,122.27
2024-09-02,123.14
2024-09-03,123.62
2024-09-04,125.54
2024-09-05,125.53
2024-09-06,127.15
2024-09-09,128.77
2024-09-10,131.07
2024-09-11,125.72
2024-09-12,128.76
2024-09-13,129.53
2024-09-16,131.55
2024-09-17,133.17
2024-09-18,134.28
2024-09-19,138.56
2024-09-20,137.94
2024-09-23,139.77
2024-09-24,139.40
2024-09-25,139.80
2024-09-26,147.12
2024-09-27,152.87
2024-09-30,154.23
2024-10-01,157.49
2024-10-02,157.27
2024-10-03,151.87
2024-10-04,153.96
2024-10-07,153.50
2024-10-08,150.26
2024-10-09,143.92
2024-10-10,148.46
2024-10-11,150.51
2024-10-14,152.53
2024-10-15,150.69
2024-10-16,151.13
2024-10-17,155.72
2024-10-18,154.39
2024-10-21,155.54
2024-10-22,152.88
2024-10-23,153.90
2024-10-24,151.06
2024-10-25,150.00
2024-10-28,149.39
2024-10-29,152.47
2024-10-30,154.15
2024-10-31,152.62
2024-11-01,152.63
2024-11-04,152.91
2024-11-05,153.23
2024-11-06,150.93
2024-11-07,153.76
2024-11-08,154.94
2024-11-11,155.88
2024-11-12,164.26
2024-11-13,163.14
2024-11-14,165.80
2024-11-15,161.27
2024-11-18,167.94
2024-11-19,165.34
2024-11-20,162.43
2024-11-21,162.23
2024-11-22,159.59
2024-11-25,156.13
2024-11-26,158.95
2024-11-27,161.52
2024-11-28,162.03
2024-11-29,161.30
2024-12-02,163.87
2024-12-03,162.29
2024-12-04,160.38
2024-12-05,163.84
2024-12-06,161.36
2024-12-09,159.05
2024-12-10,161.19
2024-12-11,160.68
2024-12-12,157.99
2024-12-13,157.95
2024-12-16,157.59
2024-12-17,155.78
2024-12-18,157.06
2024-12-19,159.66
2024-12-20,163.46
2024-12-23,159.80
2024-12-24,160.61
2024-12-25,161.33
2024-12-26,155.24
2024-12-27,153.04
2024-12-30,153.59
2024-12-31,148.66
2025-01-01,150.23
2025-01-02,154.63
2025-01-03,151.13
2025-01-06,156.10
2025-01-07,168.16
2025-01-08,167.73
2025-01-09,167.19
2025-01-10,166.19
2025-01-13,157.27
2025-01-14,153.91
2025-01-15,157.09
2025-01-16,156.68
2025-01-17,159.16
2025-01-20,159.59
2025-01-21,159.86
2025-01-22,162.08
2025-01-23,159.03
2025-01-24,160.83
2025-01-27,162.25
2025-01-28,158.87
2025-01-29,154.20
2025-01-30,153.07
2025-01-31,162.12
2025-02-03,167.84
2025-02-04,172.28
2025-02-05,171.67
2025-02-06,173.04
2025-02-07,172.98
2025-02-10,177.30
2025-02-11,179.70
2025-02-12,173.46
2025-02-13,176.83
2025-02-14,180.59
2025-02-17,179.19
2025-02-18,177.05
2025-02-19,179.58
2025-02-20,178.04
2025-02-21,179.60
2025-02-24,180.26
2025-02-25,178.87
2025-02-26,175.29
2025-02-27,183.83
2025-02-28,181.53
2025-03-03,182.98
2025-03-04,182.96
2025-03-05,183.47
2025-03-06,178.39
2025-03-07,175.79
2025-03-10,171.77
2025-03-11,176.37
2025-03-12,174.02
2025-03-13,171.55
2025-03-14,175.16
2025-03-17,176.92
2025-03-18,182.06
2025-03-19,184.71
2025-03-20,185.38
2025-03-21,182.68
2025-03-24,188.92
2025-03-25,188.81
2025-03-26,186.03
2025-03-27,185.81
2025-03-28,185.62
2025-03-31,191.70
2025-04-01,201.84
2025-04-02,201.45
2025-04-03,206.02
2025-04-04,203.38
2025-04-07,202.97
2025-04-08,200.62
2025-04-09,201.63
2025-04-10,204.68
2025-04-11,206.07
2025-04-14,205.12
2025-04-15,205.51
2025-04-16,203.13
2025-04-17,205.83
2025-04-18,204.83
2025-04-21,206.41
2025-04-22,211.01
2025-04-23,209.06
2025-04-24,215.97
2025-04-25,206.88
2025-04-28,204.89
2025-04-29,209.44
2025-04-30,208.70
2025-05-01,205.17
2025-05-02,203.65
2025-05-05,210.66
2025-05-06,218.91
2025-05-07,213.58
2025-05-08,211.33
2025-05-09,209.04
2025-05-12,215.66
2025-05-13,215.33
2025-05-14,217.65
2025-05-15,219.04
2025-05-16,219.70
2025-05-19,218.80
2025-05-20,223.89
2025-05-21,224.78
2025-05-22,220.62
2025-05-23,220.71
2025-05-26,215.60
2025-05-27,216.66
2025-05-28,215.36
2025-05-29,211.95
2025-05-30,204.16
2025-06-02,213.98
2025-06-03,214.12
2025-06-04,222.31
2025-06-05,219.20
2025-06-06,221.60
2025-06-09,230.58
2025-06-10,234.91
2025-06-11,232.61
2025-06-12,223.88
2025-06-13,218.21
2025-06-16,220.84
2025-06-17,224.80
2025-06-18,228.59
2025-06-19,229.63
2025-06-20,231.63
2025-06-23,235.41
2025-06-24,235.06
2025-06-25,237.68
2025-06-26,240.92
2025-06-27,237.31
2025-06-30,242.21
2025-07-01,251.54
2025-07-02,264.89
2025-07-03,268.70
2025-07-04,269.18
2025-07-07,263.31
2025-07-08,268.58
2025-07-09,273.95
2025-07-10,270.34
2025-07-11,275.34
2025-07-14,273.75
2025-07-15,268.19
2025-07-16,269.06
2025-07-17,268.13
2025-07-18,265.79
2025-07-21,263.71
2025-07-22,262.15
2025-07-23,255.80
2025-07-24,267.90
2025-07-25,276.82
2025-07-28,271.64
2025-07-29,275.49
2025-07-30,277.01
2025-07-31,277.42
2025-08-01,288.16
2025-08-04,293.25
2025-08-05,287.69
2025-08-06,286.48
2025-08-07,277.31
2025-08-08,280.29
2025-08-11,282.09
2025-08-12,284.03
2025-08-13,283.70
2025-08-14,284.81
2025-08-15,287.29
2025-08-18,299.43
2025-08-19,301.44
2025-08-20,300.61
2025-08-21,304.65
2025-08-22,310.92
2025-08-25,319.27
2025-08-26,327.77
2025-08-27,327.23
2025-08-28,334.57
2025-08-29,330.99
2025-09-01,323.16
2025-09-02,319.79
2025-09-03,324.44
2025-09-04,315.27
