date,close
2024-08-19,132.14
2024-08-20,135.88
2024-08-21,136.59
2024-08-22,137.85
2024-08-23,136.62
2024-08-26,138.68
2024-08-27,140.48
2024-08-28,142.07
2024-08-29,141.83
2024-08-30,144.63
2024-09-02,144.20
2024-09-03,142.00
2024-09-04,142.53
2024-09-05,149.47
2024-09-06,146.74
2024-09-09,145.67
2024-09-10,144.42
2024-09-11,145.91
2024-09-12,146.00
2024-09-13,144.66
2024-09-16,143.99
2024-09-17,149.81
2024-09-18,145.68
2024-09-19,146.68
2024-09-20,144.43
2024-09-23,144.80
2024-09-24,149.88
2024-09-25,149.23
2024-09-26,152.43
2024-09-27,154.15
2024-09-30,154.77
2024-10-01,156.17
2024-10-02,156.49
2024-10-03,159.60
2024-10-04,161.25
2024-10-07,156.45
2024-10-08,155.00
2024-10-09,157.21
2024-10-10,159.95
2024-10-11,159.24
2024-10-14,158.39
2024-10-15,155.71
2024-10-16,156.88
2024-10-17,158.07
2024-10-18,157.89
2024-10-21,155.31
2024-10-22,157.23
2024-10-23,157.01
2024-10-24,154.45
2024-10-25,155.34
2024-10-28,158.00
2024-10-29,150.72
2024-10-30,152.22
2024-10-31,153.08
2024-11-01,150.89
2024-11-04,146.80
2024-11-05,145.35
2024-11-06,146.39
2024-11-07,143.51
2024-11-08,139.76
2024-11-11,142.77
2024-11-12,140.96
2024-11-13,141.99
2024-11-14,135.88
2024-11-15,137.87
2024-11-18,139.94
2024-11-19,142.54
2024-11-20,140.57
2024-11-21,138.27
2024-11-22,138.46
2024-11-25,138.76
2024-11-26,137.69
2024-11-27,134.24
2024-11-28,136.65
2024-11-29,136.90
2024-12-02,137.49
2024-12-03,133.83
2024-12-04,132.48
2024-12-05,132.18
2024-12-06,131.50
2024-12-09,128.80
2024-12-10,127.04
2024-12-11,123.36
2024-12-12,123.95
2024-12-13,128.32
2024-12-16,127.07
2024-12-17,134.59
2024-12-18,138.84
2024-12-19,143.01
2024-12-20,145.30
2024-12-23,146.01
2024-12-24,142.40
2024-12-25,141.93
2024-12-26,141.03
2024-12-27,141.96
2024-12-30,142.07
2024-12-31,144.55
2025-01-01,144.90
2025-01-02,138.84
2025-01-03,138.36
2025-01-06,138.08
2025-01-07,138.84
2025-01-08,136.71
2025-01-09,135.06
2025-01-10,138.03
2025-01-13,138.20
2025-01-14,144.70
2025-01-15,146.41
2025-01-16,149.17
2025-01-17,148.43
2025-01-20,152.11
2025-01-21,148.49
2025-01-22,146.77
2025-01-23,143.99
2025-01-24,143.55
2025-01-27,141.77
2025-01-28,139.77
2025-01-29,140.79
2025-01-30,136.13
2025-01-31,135.58
2025-02-03,138.26
2025-02-04,137.29
2025-02-05,136.27
2025-02-06,135.53
2025-02-07,133.18
2025-02-10,132.09
2025-02-11,131.44
2025-02-12,130.37
2025-02-13,128.39
2025-02-14,125.92
2025-02-17,126.49
2025-02-18,122.82
2025-02-19,123.50
2025-02-20,122.14
2025-02-21,125.53
2025-02-24,127.65
2025-02-25,128.57
2025-02-26,128.68
2025-02-27,127.96
2025-02-28,127.67
2025-03-03,127.40
2025-03-04,122.38
2025-03-05,123.41
2025-03-06,126.59
2025-03-07,126.91
2025-03-10,131.79
2025-03-11,134.09
2025-03-12,132.52
2025-03-13,128.69
2025-03-14,128.68
2025-03-17,128.55
2025-03-18,132.19
2025-03-19,133.27
2025-03-20,138.93
2025-03-21,139.06
2025-03-24,137.81
2025-03-25,133.79
2025-03-26,134.58
2025-03-27,139.23
2025-03-28,139.06
2025-03-31,140.49
2025-04-01,138.21
2025-04-02,138.95
2025-04-03,140.52
2025-04-04,143.25
2025-04-07,145.87
2025-04-08,144.14
2025-04-09,140.06
2025-04-10,141.64
2025-04-11,140.32
2025-04-14,140.24
2025-04-15,142.97
2025-04-16,141.47
2025-04-17,142.30
2025-04-18,139.73
2025-04-21,140.84
2025-04-22,138.38
2025-04-23,138.86
2025-04-24,140.82
2025-04-25,144.49
2025-04-28,143.23
2025-04-29,146.10
2025-04-30,147.14
2025-05-01,147.41
2025-05-02,148.80
2025-05-05,149.34
2025-05-06,150.44
2025-05-07,149.39
2025-05-08,148.14
2025-05-09,145.19
2025-05-12,142.79
2025-05-13,141.98
2025-05-14,138.89
2025-05-15,137.81
2025-05-16,143.58
2025-05-19,141.82
2025-05-20,144.49
2025-05-21,142.30
2025-05-22,139.93
2025-05-23,146.95
2025-05-26,145.13
2025-05-27,151.53
2025-05-28,148.69
2025-05-29,145.85
2025-05-30,144.36
2025-06-02,143.93
2025-06-03,142.16
2025-06-04,142.22
2025-06-05,143.21
2025-06-06,143.49
2025-06-09,143.85
2025-06-10,143.10
2025-06-11,141.95
2025-06-12,143.08
2025-06-13,139.07
2025-06-16,141.99
2025-06-17,141.61
2025-06-18,144.52
2025-06-19,143.16
2025-06-20,142.60
2025-06-23,143.87
2025-06-24,147.86
2025-06-25,144.51
2025-06-26,143.25
2025-06-27,146.26
2025-06-30,146.09
2025-07-01,146.86
2025-07-02,149.75
2025-07-03,150.69
2025-07-04,151.77
2025-07-07,155.55
